,CODI EOI,NOM ESTACIO,DATA,MAGNITUD,CONTAMINANT,UNITATS,TIPUS ESTACIO,AREA URBANA,CODI INE,MUNICIPI,CODI COMARCA,NOM COMARCA,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,ALTITUD,LATITUD,LONGITUD,Georeferència
10189,8121013,Mataró,28/02/2023,8,NO2,µg/m3,background,urban,8121,Mataró,21,Maresme,8.0,8.0,1.0,1.0,1.0,2.0,3.0,6.0,6.0,6.0,5.0,5.0,5.0,7.0,6.0,10.0,10.0,24.0,31.0,31.0,31.0,35.0,18.0,9.0,40,41.547176,2.4432983,POINT (2.4432983 41.547176)
18439,8196001,Sant Andreu de la Barca,06/02/2023,7,NO,µg/m3,traffic,suburban,8196,Sant Andreu de la Barca,11,Baix Llobregat,30.0,27.0,7.0,5.0,5.0,16.0,8.0,21.0,60.0,55.0,33.0,21.0,19.0,15.0,14.0,17.0,13.0,14.0,15.0,10.0,4.0,41.0,34.0,19.0,40,41.4508,1.9748996,POINT (1.9748996 41.4508)
9450,8019044,Barcelona (Gràcia - Sant Gervasi),02/03/2023,8,NO2,µg/m3,traffic,urban,8019,Barcelona,13,Barcelonès,27.0,22.0,23.0,21.0,20.0,20.0,34.0,52.0,60.0,49.0,37.0,41.0,30.0,21.0,18.0,22.0,23.0,30.0,35.0,36.0,45.0,49.0,46.0,44.0,57,41.398724,2.1533988,POINT (2.1533988 41.398724)
6690,43148003,Tarragona (Bonavista),10/03/2023,7,NO,µg/m3,industrial,suburban,43148,Tarragona,36,Tarragonès,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39,41.11591,1.1919986,POINT (1.1919986 41.11591)
4803,8137001,Montseny (La Castanya),15/03/2023,7,NO,µg/m3,background,rural,8137,Montseny,41,Vallès Oriental,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,693,41.77928,2.358002,
10442,8019054,Barcelona (Parc Vall Hebron),27/02/2023,8,NO2,µg/m3,background,urban,8019,Barcelona,13,Barcelonès,10.0,6.0,7.0,6.0,11.0,13.0,24.0,49.0,43.0,43.0,25.0,17.0,14.0,12.0,14.0,24.0,26.0,22.0,27.0,16.0,15.0,12.0,16.0,13.0,136,41.42611,2.1480017,POINT (2.1480017 41.42611)
24141,17079003,Girona (Escola de Música),21/01/2023,10,PM10,µg/m3,traffic,urban,17079,Girona,20,Gironès,24.0,16.0,8.0,5.0,3.0,7.0,16.0,15.0,22.0,29.0,13.0,28.0,18.0,16.0,12.0,13.0,10.0,10.0,16.0,13.0,13.0,14.0,31.0,18.0,73,41.97638,2.8165,POINT (2.8165 41.97638)
22376,8019043,Barcelona (Eixample),26/01/2023,8,NO2,µg/m3,traffic,urban,8019,Barcelona,13,Barcelonès,20.0,13.0,14.0,16.0,14.0,15.0,18.0,26.0,30.0,32.0,25.0,31.0,19.0,33.0,42.0,47.0,51.0,54.0,52.0,68.0,70.0,67.0,62.0,48.0,26,41.385315,2.1537998,POINT (2.1537998 41.385315)
4629,43047001,Constantí,15/03/2023,8,NO2,µg/m3,industrial,suburban,43047,Constantí,36,Tarragonès,3.0,8.0,5.0,2.0,4.0,5.0,18.0,61.0,47.0,22.0,15.0,,,,,10.0,11.0,18.0,32.0,35.0,32.0,31.0,25.0,22.0,56,41.15493,1.2177014,
12297,8307012,Vilanova i la Geltrú,22/02/2023,14,O3,µg/m3,traffic,suburban,8307,Vilanova i la Geltrú,17,Garraf,25.0,36.0,41.0,43.0,44.0,26.0,8.0,2.0,5.0,19.0,40.0,53.0,58.0,57.0,67.0,76.0,76.0,74.0,70.0,67.0,65.0,48.0,39.0,35.0,12,41.218987,1.7211995,POINT (1.7211995 41.218987)
24,43162001,Vandellòs (Els Dedalts),27/03/2023,7,NO,µg/m3,background,rural,43162,Vandellòs i l'Hospitalet de l',8,Baix Camp,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,737,41.00808,0.83110964,
24668,8305006,Vilafranca del Penedès,20/01/2023,12,NOX,µg/m3,background,suburban,8305,Vilafranca del Penedès,3,Alt Penedès,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,14.0,43.0,19.0,10.0,5.0,4.0,4.0,5.0,3.0,8.0,10.0,9.0,25.0,17.0,29.0,30.0,192,41.346813,1.6865987,POINT (1.6865987 41.346813)
