,CODI EOI,NOM ESTACIO,DATA,MAGNITUD,CONTAMINANT,UNITATS,TIPUS ESTACIO,AREA URBANA,CODI INE,MUNICIPI,CODI COMARCA,NOM COMARCA,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,ALTITUD,LATITUD,LONGITUD,Georeferència 
5462,8101001,L'Hospitalet de Llobregat,13/03/2023,7,NO,µg/m3,background,urban,8101,"Hospitalet de Llobregat, l'",13,Barcelonès,16.0,24.0,9.0,1.0,1.0,5.0,17.0,22.0,20.0,37.0,12.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,29,41.370476,2.1149993,POINT (2.1149993 41.370476)
8871,8157003,Pallejà (Roca de Vilana),04/03/2023,7,NO,µg/m3,industrial,suburban,8157,Pallejà,11,Baix Llobregat,3.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,7.0,6.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,82,41.41528,1.9905012,POINT (1.9905012 41.41528)
3774,25119002,Juneda (Pla del Molí),18/03/2023,7,NO,µg/m3,background,rural,25119,Juneda,18,Garrigues,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,255,41.544083,0.8299007,
9616,43103001,Perafort (Puigdelfí),02/03/2023,65,H2S,µg/m3,industrial,rural,43103,Perafort,36,Tarragonès,1.6,1.5,1.8,1.5,1.4,1.5,1.5,1.6,1.6,1.4,1.5,1.6,1.5,1.7,1.4,1.6,1.8,1.6,1.6,1.9,2.0,2.2,2.1,1.9,97,41.193604,1.2367008,POINT (1.2367008 41.193604)
569,8169009,El Prat de Llobregat (Sagnier),26/03/2023,8,NO2,µg/m3,background,suburban,8169,"Prat de Llobregat, el",11,Baix Llobregat,71.0,,,,,,,,,,,,,,,,,,,,,,,,7,41.321774,2.0821,
23684,43162002,Vandellòs (Viver),22/01/2023,7,NO,µg/m3,industrial,rural,43162,Vandellòs i l'Hospitalet de l',8,Baix Camp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,60,41.009453,0.91277903,POINT (0.91277903 41.009453)
11831,8125002,Montcada i Reixac,24/02/2023,7,NO,µg/m3,traffic,suburban,8125,Montcada i Reixac,40,Vallès Occidental,4.0,5.0,1.0,1.0,1.0,2.0,1.0,8.0,13.0,11.0,8.0,10.0,6.0,6.0,4.0,3.0,3.0,3.0,3.0,6.0,8.0,16.0,13.0,5.0,34,41.48197,2.1882975,POINT (2.1882975 41.48197)
24333,43047001,Constantí,21/01/2023,12,NOX,µg/m3,industrial,suburban,43047,Constantí,36,Tarragonès,17.0,9.0,8.0,10.0,8.0,12.0,8.0,6.0,11.0,12.0,17.0,7.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,9.0,6.0,6.0,6.0,4.0,56,41.15493,1.2177014,POINT (1.2177014 41.15493)
2145,8125002,Montcada i Reixac,22/03/2023,12,NOX,µg/m3,traffic,suburban,8125,Montcada i Reixac,40,Vallès Occidental,38.0,44.0,58.0,55.0,69.0,84.0,152.0,271.0,216.0,46.0,40.0,62.0,72.0,55.0,42.0,34.0,29.0,45.0,45.0,59.0,59.0,37.0,32.0,32.0,34,41.48197,2.1882975,
25457,8019004,Barcelona (Poblenou),17/01/2023,10,PM10,µg/m3,background,urban,8019,Barcelona,13,Barcelonès,8.0,13.0,12.0,15.0,7.0,13.0,10.0,19.0,25.0,29.0,8.0,8.0,11.0,21.0,33.0,42.0,21.0,18.0,17.0,16.0,9.0,5.0,3.0,4.0,3,41.40388,2.204501,POINT (2.204501 41.40388)
10332,17079003,Girona (Escola de Música),28/02/2023,12,NOX,µg/m3,traffic,urban,17079,Girona,20,Gironès,6.0,5.0,5.0,4.0,5.0,5.0,8.0,23.0,26.0,25.0,22.0,25.0,22.0,25.0,24.0,21.0,25.0,24.0,29.0,28.0,27.0,27.0,21.0,21.0,73,41.97638,2.8165,POINT (2.8165 41.97638)
21973,17079003,Girona (Escola de Música),27/01/2023,10,PM10,µg/m3,traffic,urban,17079,Girona,20,Gironès,21.0,16.0,15.0,14.0,14.0,16.0,17.0,18.0,23.0,40.0,42.0,42.0,31.0,14.0,16.0,23.0,13.0,21.0,14.0,14.0,25.0,28.0,31.0,34.0,73,41.97638,2.8165,POINT (2.8165 41.97638)
15977,43123005,Reus,12/02/2023,7,NO,µg/m3,traffic,suburban,43123,Reus,8,Baix Camp,5.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,21.0,16.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,8.0,6.0,9.0,3.0,2.0,102,41.150803,1.1202013,POINT (1.1202013 41.150803)
11424,8260010,Santa Perpètua de Mogoda,25/02/2023,1,SO2,µg/m3,traffic,suburban,8260,Santa Perpètua de Mogoda,40,Vallès Occidental,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84,41.526722,2.1838,POINT (2.1838 41.526722)
9183,8019057,Barcelona (Palau Reial),03/03/2023,9,PM2.5,µg/m3,background,urban,8019,Barcelona,13,Barcelonès,22.0,22.0,20.0,20.0,20.0,20.0,21.0,23.0,25.0,23.0,25.0,27.0,29.0,30.0,27.0,26.0,22.0,22.0,20.0,19.0,22.0,23.0,21.0,24.0,81,41.38749,2.1151996,POINT (2.1151996 41.38749)
18,43148001,Tarragona (Sant Salvador),27/03/2023,7,NO,µg/m3,traffic,suburban,43148,Tarragona,36,Tarragonès,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,77,41.15951,1.2396973,
11517,8137001,Montseny (La Castanya),24/02/2023,14,O3,µg/m3,background,rural,8137,Montseny,41,Vallès Oriental,82.0,85.0,77.0,78.0,80.0,77.0,73.0,74.0,79.0,79.0,83.0,70.0,76.0,78.0,76.0,70.0,67.0,60.0,48.0,45.0,51.0,48.0,51.0,56.0,693,41.77928,2.358002,POINT (2.358002 41.77928)
11621,8157003,Pallejà (Roca de Vilana),24/02/2023,1,SO2,µg/m3,industrial,suburban,8157,Pallejà,11,Baix Llobregat,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,82,41.41528,1.9905012,POINT (1.9905012 41.41528)
424,8112003,Manlleu,26/03/2023,8,NO2,µg/m3,background,suburban,8112,Manlleu,24,Osona,27.0,,21.0,21.0,11.0,15.0,18.0,21.0,19.0,19.0,17.0,11.0,5.0,3.0,3.0,2.0,3.0,3.0,4.0,6.0,11.0,16.0,15.0,14.0,460,42.003307,2.2872992,
2645,8096014,Granollers,21/03/2023,10,PM10,µg/m3,traffic,urban,8096,Granollers,41,Vallès Oriental,18.0,19.0,17.0,16.0,14.0,19.0,21.0,32.0,32.0,45.0,42.0,32.0,25.0,25.0,22.0,21.0,18.0,17.0,18.0,21.0,51.0,29.0,24.0,30.0,133,41.598682,2.2870984,
24568,17079003,Girona (Escola de Música),20/01/2023,8,NO2,µg/m3,traffic,urban,17079,Girona,20,Gironès,9.0,4.0,3.0,3.0,5.0,12.0,12.0,12.0,25.0,23.0,18.0,15.0,14.0,18.0,12.0,17.0,20.0,44.0,58.0,57.0,64.0,57.0,42.0,35.0,73,41.97638,2.8165,POINT (2.8165 41.97638)
2447,25172001,Ponts,21/03/2023,14,O3,µg/m3,background,rural,25172,Ponts,23,Noguera,33.0,34.0,26.0,22.0,19.0,14.0,11.0,9.0,10.0,25.0,49.0,72.0,84.0,91.0,95.0,98.0,100.0,100.0,98.0,69.0,56.0,42.0,36.0,29.0,370,41.906708,1.1930013,
20207,8019058,Barcelona (Observatori Fabra),01/02/2023,7,NO,µg/m3,background,suburban,8019,Barcelona,13,Barcelonès,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,415,41.41843,2.1238973,POINT (2.1238973 41.41843)
23153,8184006,Rubí,24/01/2023,8,NO2,µg/m3,background,urban,8184,Rubí,40,Vallès Occidental,45.0,38.0,14.0,12.0,9.0,8.0,9.0,13.0,18.0,12.0,8.0,12.0,13.0,14.0,12.0,11.0,15.0,20.0,25.0,33.0,34.0,32.0,29.0,26.0,171,41.492115,2.0424972,POINT (2.0424972 41.492115)
19686,25051001,Bellver de Cerdanya,02/02/2023,10,PM10,µg/m3,background,rural,25051,Bellver de Cerdanya,15,Cerdanya,26.0,18.0,13.0,8.0,11.0,11.0,13.0,14.0,27.0,38.0,33.0,35.0,33.0,19.0,21.0,21.0,22.0,18.0,13.0,28.0,23.0,31.0,40.0,28.0,1060,42.368282,1.7767994,POINT (1.7767994 42.368282)
15142,8125002,Montcada i Reixac,15/02/2023,6,CO,mg/m3,traffic,suburban,8125,Montcada i Reixac,40,Vallès Occidental,0.5,0.5,0.4,0.4,0.5,0.4,0.5,0.6,0.6,0.5,0.5,,,,,,0.2,0.3,0.3,0.3,0.3,0.5,0.4,0.3,34,41.48197,2.1882975,POINT (2.1882975 41.48197)
7505,8279011,Terrassa,07/03/2023,1,SO2,µg/m3,traffic,urban,8279,Terrassa,40,Vallès Occidental,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,109,41.556114,2.0073977,POINT (2.0073977 41.556114)
4614,43123005,Reus,15/03/2023,10,PM10,µg/m3,traffic,suburban,43123,Reus,8,Baix Camp,5.0,7.0,6.0,7.0,10.0,10.0,13.0,16.0,31.0,35.0,25.0,25.0,26.0,21.0,19.0,18.0,13.0,15.0,19.0,21.0,35.0,41.0,41.0,31.0,102,41.150803,1.1202013,
14705,8019043,Barcelona (Eixample),16/02/2023,6,CO,mg/m3,traffic,urban,8019,Barcelona,13,Barcelonès,0.4,0.2,0.2,0.2,0.2,0.3,0.3,0.6,1.0,1.2,0.8,0.3,0.2,0.2,0.2,0.2,0.3,0.5,0.3,0.3,0.2,0.2,0.3,0.4,26,41.385315,2.1537998,POINT (2.1537998 41.385315)
10259,8089005,Gavà,28/02/2023,7,NO,µg/m3,background,suburban,8089,Gavà,11,Baix Llobregat,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,16.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,25,41.303097,1.9914981,POINT (1.9914981 41.303097)
12132,8113007,Manresa,23/02/2023,8,NO2,µg/m3,traffic,urban,8113,Manresa,7,Bages,28.0,22.0,24.0,18.0,14.0,14.0,22.0,24.0,27.0,28.0,26.0,27.0,27.0,24.0,22.0,34.0,34.0,36.0,44.0,37.0,38.0,27.0,23.0,24.0,238,41.730293,1.8253003,POINT (1.8253003 41.730293)
9050,8102005,Igualada,03/03/2023,14,O3,µg/m3,industrial,suburban,8102,Igualada,6,Anoia,29.0,28.0,20.0,26.0,22.0,24.0,19.0,5.0,12.0,,,,63.0,71.0,76.0,79.0,76.0,75.0,59.0,35.0,22.0,6.0,12.0,12.0,311,41.5784,1.6230061,POINT (1.6230061 41.5784)
12146,8102005,Igualada,23/02/2023,1,SO2,µg/m3,industrial,suburban,8102,Igualada,6,Anoia,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,311,41.5784,1.6230061,POINT (1.6230061 41.5784)
15143,25051001,Bellver de Cerdanya,15/02/2023,8,NO2,µg/m3,background,rural,25051,Bellver de Cerdanya,15,Cerdanya,10.0,9.0,7.0,7.0,8.0,7.0,8.0,13.0,18.0,19.0,13.0,5.0,3.0,2.0,1.0,2.0,3.0,3.0,5.0,25.0,35.0,23.0,20.0,13.0,1060,42.368282,1.7767994,POINT (1.7767994 42.368282)
707,43162002,Vandellòs (Viver),26/03/2023,8,NO2,µg/m3,industrial,rural,43162,Vandellòs i l'Hospitalet de l',8,Baix Camp,15.0,,16.0,12.0,11.0,10.0,11.0,14.0,10.0,8.0,6.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,7.0,6.0,5.0,60,41.009453,0.91277903,
7039,8202001,Sant Celoni,09/03/2023,8,NO2,µg/m3,background,suburban,8202,Sant Celoni,41,Vallès Oriental,30.0,13.0,8.0,6.0,9.0,21.0,41.0,36.0,37.0,36.0,30.0,26.0,29.0,13.0,9.0,4.0,4.0,5.0,16.0,26.0,20.0,9.0,8.0,7.0,145,41.6891,2.495701,POINT (2.495701 41.6891)
1503,8279011,Terrassa,24/03/2023,12,NOX,µg/m3,traffic,urban,8279,Terrassa,40,Vallès Occidental,15.0,13.0,10.0,9.0,10.0,26.0,52.0,105.0,94.0,61.0,40.0,34.0,30.0,30.0,32.0,37.0,49.0,41.0,42.0,55.0,45.0,60.0,78.0,61.0,109,41.556114,2.0073977,
15398,8260010,Santa Perpètua de Mogoda,14/02/2023,12,NOX,µg/m3,traffic,suburban,8260,Santa Perpètua de Mogoda,40,Vallès Occidental,96.0,71.0,62.0,67.0,64.0,70.0,171.0,295.0,424.0,328.0,221.0,168.0,74.0,52.0,41.0,29.0,30.0,38.0,60.0,60.0,142.0,155.0,113.0,139.0,84,41.526722,2.1838,POINT (2.1838 41.526722)
12982,8194008,Sant Adrià de Besòs,20/02/2023,14,O3,µg/m3,traffic,urban,8194,Sant Adrià de Besòs,13,Barcelonès,3.0,4.0,7.0,7.0,8.0,6.0,3.0,3.0,7.0,12.0,41.0,58.0,64.0,66.0,65.0,67.0,76.0,79.0,67.0,62.0,45.0,37.0,3.0,1.0,7,41.425594,2.2221997,POINT (2.2221997 41.425594)
10190,43148003,Tarragona (Bonavista),28/02/2023,12,NOX,µg/m3,industrial,suburban,43148,Tarragona,36,Tarragonès,6.0,6.0,5.0,5.0,5.0,7.0,8.0,11.0,14.0,12.0,11.0,9.0,8.0,8.0,8.0,7.0,9.0,9.0,10.0,11.0,11.0,9.0,8.0,8.0,39,41.11591,1.1919986,POINT (1.1919986 41.11591)
10705,8112003,Manlleu,27/02/2023,8,NO2,µg/m3,background,suburban,8112,Manlleu,24,Osona,5.0,4.0,5.0,4.0,5.0,7.0,15.0,35.0,37.0,19.0,20.0,14.0,11.0,9.0,9.0,8.0,12.0,19.0,27.0,40.0,40.0,30.0,26.0,25.0,460,42.003307,2.2872992,POINT (2.2872992 42.003307)
12036,8305006,Vilafranca del Penedès,23/02/2023,8,NO2,µg/m3,background,suburban,8305,Vilafranca del Penedès,3,Alt Penedès,13.0,8.0,6.0,15.0,19.0,9.0,14.0,27.0,30.0,31.0,31.0,22.0,11.0,9.0,6.0,11.0,13.0,14.0,13.0,13.0,11.0,6.0,3.0,3.0,192,41.346813,1.6865987,POINT (1.6865987 41.346813)
13343,43103001,Perafort (Puigdelfí),19/02/2023,12,NOX,µg/m3,industrial,rural,43103,Perafort,36,Tarragonès,10.0,6.0,7.0,8.0,8.0,7.0,9.0,9.0,10.0,14.0,10.0,19.0,48.0,44.0,30.0,23.0,22.0,29.0,38.0,34.0,30.0,22.0,16.0,19.0,97,41.193604,1.2367008,POINT (1.2367008 41.193604)
24070,8187012,Sabadell,21/01/2023,7,NO,µg/m3,traffic,urban,8187,Sabadell,40,Vallès Occidental,8.0,2.0,3.0,7.0,4.0,10.0,13.0,9.0,9.0,14.0,16.0,13.0,10.0,14.0,11.0,4.0,6.0,10.0,20.0,16.0,27.0,22.0,15.0,13.0,210,41.561214,2.1011107,POINT (2.1011107 41.561214)
13390,43148001,Tarragona (Sant Salvador),19/02/2023,1,SO2,µg/m3,traffic,suburban,43148,Tarragona,36,Tarragonès,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,9.0,18.0,36.0,91.0,32.0,30.0,17.0,10.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,77,41.15951,1.2396973,POINT (1.2396973 41.15951)
17077,8121013,Mataró,09/02/2023,14,O3,µg/m3,background,urban,8121,Mataró,21,Maresme,76.0,78.0,79.0,81.0,79.0,75.0,74.0,70.0,60.0,64.0,71.0,67.0,74.0,79.0,77.0,79.0,81.0,81.0,65.0,62.0,54.0,58.0,59.0,54.0,40,41.547176,2.4432983,POINT (2.4432983 41.547176)
5510,8074005,Cubelles (Poliesportiu),13/03/2023,8,NO2,µg/m3,background,suburban,8074,Cubelles,17,Garraf,,,,,,,,,,,,,,,,,,,,,,,,,5,41.202198,1.6722002,POINT (1.6722002 41.202198)
21961,8202001,Sant Celoni,27/01/2023,1,SO2,µg/m3,background,suburban,8202,Sant Celoni,41,Vallès Oriental,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,145,41.6891,2.495701,POINT (2.495701 41.6891)
23421,43162002,Vandellòs (Viver),23/01/2023,8,NO2,µg/m3,industrial,rural,43162,Vandellòs i l'Hospitalet de l',8,Baix Camp,2.0,2.0,2.0,2.0,3.0,2.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,4.0,4.0,3.0,60,41.009453,0.91277903,POINT (0.91277903 41.009453)
17207,8196001,Sant Andreu de la Barca,09/02/2023,7,NO,µg/m3,traffic,suburban,8196,Sant Andreu de la Barca,11,Baix Llobregat,1.0,1.0,1.0,2.0,12.0,10.0,11.0,100.0,99.0,34.0,13.0,14.0,10.0,6.0,3.0,3.0,13.0,8.0,3.0,4.0,5.0,10.0,16.0,20.0,40,41.4508,1.9748996,POINT (1.9748996 41.4508)
25051,8019057,Barcelona (Palau Reial),19/01/2023,9,PM2.5,µg/m3,background,urban,8019,Barcelona,13,Barcelonès,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,81,41.38749,2.1151996,POINT (2.1151996 41.38749)
5499,43148022,Tarragona (Universitat Laboral),13/03/2023,7,NO,µg/m3,industrial,suburban,43148,Tarragona,36,Tarragonès,1.0,5.0,7.0,1.0,1.0,3.0,7.0,14.0,22.0,54.0,19.0,7.0,7.0,7.0,5.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,5,41.103706,1.2007992,POINT (1.2007992 41.103706)
19134,43004005,Alcanar,04/02/2023,7,NO,µg/m3,industrial,rural,43004,Alcanar,22,Montsià,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,7,40.552807,0.53000027,POINT (0.53000027 40.552807)
20283,8102005,Igualada,01/02/2023,7,NO,µg/m3,industrial,suburban,8102,Igualada,6,Anoia,4.0,3.0,4.0,5.0,7.0,6.0,30.0,42.0,58.0,99.0,62.0,19.0,15.0,5.0,6.0,8.0,6.0,7.0,17.0,9.0,8.0,6.0,4.0,3.0,311,41.5784,1.6230061,POINT (1.6230061 41.5784)
12965,8263001,Sant Vicenç dels Horts (Ribot),21/02/2023,7,NO,µg/m3,background,suburban,8263,Sant Vicenç dels Horts,11,Baix Llobregat,3.0,15.0,14.0,16.0,12.0,20.0,32.0,60.0,89.0,74.0,64.0,54.0,36.0,7.0,4.0,2.0,2.0,4.0,5.0,10.0,3.0,2.0,2.0,2.0,38,41.39219,2.0097985,POINT (2.0097985 41.39219)
8373,8121013,Mataró,05/03/2023,1,SO2,µg/m3,background,urban,8121,Mataró,21,Maresme,1.0,1.0,1.0,1.0,3.0,,,,,,,5.0,2.0,15.0,17.0,13.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,40,41.547176,2.4432983,POINT (2.4432983 41.547176)
9325,8121013,Mataró,02/03/2023,6,CO,mg/m3,background,urban,8121,Mataró,21,Maresme,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.3,0.2,0.2,0.2,0.3,0.2,0.3,0.5,0.5,0.4,0.3,0.3,40,41.547176,2.4432983,POINT (2.4432983 41.547176)
8565,8137001,Montseny (La Castanya),05/03/2023,7,NO,µg/m3,background,rural,8137,Montseny,41,Vallès Oriental,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,693,41.77928,2.358002,POINT (2.358002 41.77928)
24132,43171002,Vila-seca (IES Vila-seca),21/01/2023,12,NOX,µg/m3,background,suburban,43171,Vila-seca,36,Tarragonès,5.0,13.0,3.0,15.0,33.0,23.0,45.0,19.0,21.0,20.0,12.0,7.0,7.0,3.0,2.0,2.0,3.0,3.0,9.0,7.0,6.0,6.0,4.0,3.0,33,41.102505,1.1494449,POINT (1.1494449 41.102505)
1546,43044003,La Sénia,23/03/2023,14,O3,µg/m3,background,rural,43044,"Sénia, la",22,Montsià,82.0,68.0,79.0,81.0,73.0,72.0,67.0,71.0,69.0,56.0,73.0,85.0,99.0,111.0,108.0,108.0,105.0,97.0,89.0,86.0,78.0,76.0,92.0,84.0,428,40.64299,0.28840002,
24014,8015021,Badalona,21/01/2023,8,NO2,µg/m3,background,urban,8015,Badalona,13,Barcelonès,45.0,21.0,13.0,14.0,15.0,18.0,18.0,31.0,39.0,26.0,14.0,7.0,6.0,4.0,5.0,10.0,8.0,16.0,19.0,20.0,13.0,30.0,31.0,27.0,7,41.443985,2.2378986,POINT (2.2378986 41.443985)
15945,25120001,Lleida,12/02/2023,6,CO,mg/m3,traffic,urban,25120,Lleida,33,Segrià,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.2,0.2,0.2,0.2,0.3,0.6,0.7,0.8,0.7,0.4,220,41.615818,0.6157005,POINT (0.6157005 41.615818)
5464,43123005,Reus,13/03/2023,14,O3,µg/m3,traffic,suburban,43123,Reus,8,Baix Camp,5.0,6.0,3.0,4.0,5.0,8.0,5.0,6.0,22.0,47.0,56.0,62.0,73.0,76.0,77.0,74.0,73.0,54.0,34.0,27.0,14.0,6.0,66.0,88.0,102,41.150803,1.1202013,POINT (1.1202013 41.150803)
23103,43148028,Tarragona (Parc de la Ciutat),24/01/2023,8,NO2,µg/m3,background,urban,43148,Tarragona,36,Tarragonès,28.0,23.0,22.0,15.0,11.0,16.0,17.0,43.0,33.0,45.0,36.0,17.0,15.0,18.0,18.0,22.0,22.0,24.0,24.0,24.0,20.0,19.0,16.0,9.0,13,41.1174,1.2417027,POINT (1.2417027 41.1174)
17106,43103001,Perafort (Puigdelfí),09/02/2023,8,NO2,µg/m3,industrial,rural,43103,Perafort,36,Tarragonès,5.0,5.0,4.0,3.0,3.0,4.0,5.0,8.0,11.0,9.0,7.0,7.0,7.0,6.0,8.0,10.0,8.0,8.0,11.0,12.0,18.0,14.0,20.0,17.0,97,41.193604,1.2367008,POINT (1.2367008 41.193604)
8206,8015021,Badalona,05/03/2023,8,NO2,µg/m3,background,urban,8015,Badalona,13,Barcelonès,71.0,50.0,51.0,46.0,39.0,38.0,35.0,39.0,37.0,27.0,20.0,22.0,33.0,25.0,24.0,18.0,14.0,20.0,26.0,42.0,56.0,67.0,87.0,65.0,7,41.443985,2.2378986,POINT (2.2378986 41.443985)
14657,8019057,Barcelona (Palau Reial),16/02/2023,14,O3,µg/m3,background,urban,8019,Barcelona,13,Barcelonès,19.0,31.0,41.0,36.0,38.0,35.0,27.0,10.0,3.0,3.0,8.0,27.0,72.0,81.0,78.0,76.0,74.0,73.0,62.0,53.0,18.0,6.0,18.0,18.0,81,41.38749,2.1151996,POINT (2.1151996 41.38749)
17629,8019044,Barcelona (Gràcia - Sant Gervasi),08/02/2023,14,O3,µg/m3,traffic,urban,8019,Barcelona,13,Barcelonès,73.0,76.0,77.0,74.0,74.0,74.0,68.0,60.0,53.0,54.0,58.0,67.0,68.0,66.0,66.0,68.0,65.0,65.0,58.0,61.0,68.0,66.0,66.0,63.0,57,41.398724,2.1533988,POINT (2.1533988 41.398724)
19948,25051001,Bellver de Cerdanya,01/02/2023,7,NO,µg/m3,background,rural,25051,Bellver de Cerdanya,15,Cerdanya,1.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,16.0,22.0,6.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1060,42.368282,1.7767994,POINT (1.7767994 42.368282)
10467,8194008,Sant Adrià de Besòs,27/02/2023,8,NO2,µg/m3,traffic,urban,8194,Sant Adrià de Besòs,13,Barcelonès,9.0,5.0,7.0,6.0,5.0,12.0,42.0,59.0,64.0,59.0,33.0,28.0,21.0,6.0,,,34.0,35.0,39.0,27.0,31.0,36.0,25.0,23.0,7,41.425594,2.2221997,POINT (2.2221997 41.425594)
3449,8260010,Santa Perpètua de Mogoda,18/03/2023,12,NOX,µg/m3,traffic,suburban,8260,Santa Perpètua de Mogoda,40,Vallès Occidental,33.0,28.0,13.0,11.0,25.0,26.0,37.0,44.0,56.0,41.0,25.0,16.0,14.0,25.0,20.0,20.0,14.0,18.0,21.0,27.0,40.0,60.0,58.0,46.0,84,41.526722,2.1838,
24291,8260010,Santa Perpètua de Mogoda,21/01/2023,7,NO,µg/m3,traffic,suburban,8260,Santa Perpètua de Mogoda,40,Vallès Occidental,12.0,8.0,7.0,9.0,4.0,6.0,15.0,14.0,34.0,15.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,6.0,5.0,4.0,8.0,7.0,12.0,84,41.526722,2.1838,POINT (2.1838 41.526722)
13495,43148028,Tarragona (Parc de la Ciutat),19/02/2023,1,SO2,µg/m3,background,urban,43148,Tarragona,36,Tarragonès,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,12.0,10.0,5.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,13,41.1174,1.2417027,POINT (1.2417027 41.1174)
21709,8114006,Martorell,28/01/2023,10,PM10,µg/m3,background,suburban,8114,Martorell,11,Baix Llobregat,21.0,21.0,20.0,19.0,18.0,17.0,15.0,16.0,20.0,22.0,23.0,8.0,8.0,8.0,15.0,19.0,18.0,15.0,12.0,14.0,14.0,15.0,15.0,16.0,78,41.475384,1.9212021,POINT (1.9212021 41.475384)
6920,43148028,Tarragona (Parc de la Ciutat),09/03/2023,12,NOX,µg/m3,background,urban,43148,Tarragona,36,Tarragonès,22.0,7.0,4.0,4.0,4.0,5.0,22.0,38.0,52.0,72.0,64.0,76.0,54.0,26.0,28.0,32.0,25.0,17.0,30.0,22.0,21.0,16.0,18.0,3.0,13,41.1174,1.2417027,POINT (1.2417027 41.1174)
11826,8113007,Manresa,24/02/2023,14,O3,µg/m3,traffic,urban,8113,Manresa,7,Bages,50.0,66.0,66.0,61.0,51.0,42.0,27.0,14.0,24.0,32.0,45.0,48.0,52.0,56.0,58.0,59.0,54.0,45.0,39.0,29.0,28.0,26.0,19.0,18.0,238,41.730293,1.8253003,POINT (1.8253003 41.730293)
